Pair_Name,Ligand_ApprovedSymbol,Ligand_Name,Receptor_ApprovedSymbol,Receptor_Name,DLRP,HPMR,IUPHAR,HPRD,STRING_binding,STRING_experiment,HPMR_Ligand,HPMR_Receptor,PMID_Manual,Pair_Source,Pair_Evidence
HGF_MET,Hgf,"hepatocyte growth factor (hepapoietin A; scatter factor)",Met,"met proto-oncogene",DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,HGF,MET,"",known,literature supported
HGF_SDC1,Hgf,"hepatocyte growth factor (hepapoietin A; scatter factor)",Sdc1,"syndecan 1",,,,HPRD,STRING.binding,,HGF,SDC1,"",novel,literature supported
HGF_SDC2,Hgf,"hepatocyte growth factor (hepapoietin A; scatter factor)",Sdc2,"syndecan 2",,,,HPRD,,,HGF,SDC2,"",novel,literature supported
HGF_ST14,Hgf,"hepatocyte growth factor (hepapoietin A; scatter factor)",St14,"suppression of tumorigenicity 14 (colon carcinoma)",,,,HPRD,,,HGF,,"",novel,literature supported
HLA-G_KLRC1,H2-M3,"major histocompatibility complex, class I, G",Klrc1,"killer cell lectin-like receptor subfamily C, member 1",,HPMR,,,,,HLA-G,KLRC1,"",known,literature supported
HLA-G_KLRD1,H2-M3,"major histocompatibility complex, class I, G",Klrd1,"killer cell lectin-like receptor subfamily D, member 1",,HPMR,,HPRD,,,HLA-G,KLRD1,"",known,literature supported
HP_ITGAM,Hp,"haptoglobin",Itgam,"integrin, alpha M (complement component 3 receptor 3 subunit)",,,,HPRD,,,,ITGAM,"",novel,literature supported
HP_ITGB2,Hp,"haptoglobin",Itgb2,"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)",,,,HPRD,,,,ITGB2,"",novel,literature supported
HRAS_AGTR1,Hras,"Harvey rat sarcoma viral oncogene homolog",Agtr1a,"angiotensin II receptor, type 1",,,,HPRD,,,HRAS,AGTR1,"",novel,literature supported
HRAS_CAV1,Hras,"Harvey rat sarcoma viral oncogene homolog",Cav1,"caveolin 1, caveolae protein, 22kDa",,,,HPRD,STRING.binding,,HRAS,,"",novel,literature supported
HRAS_GRIN2D,Hras,"Harvey rat sarcoma viral oncogene homolog",Grin2d,"glutamate receptor, ionotropic, N-methyl D-aspartate 2D",,,,HPRD,,,HRAS,,"",novel,literature supported
HRAS_INSR,Hras,"Harvey rat sarcoma viral oncogene homolog",Insr,"insulin receptor",,,,HPRD,,,HRAS,INSR,"",novel,literature supported
HRAS_TLR2,Hras,"Harvey rat sarcoma viral oncogene homolog",Tlr2,"toll-like receptor 2",,,,HPRD,,,HRAS,TLR2,"",novel,literature supported
HRAS_TLR9,Hras,"Harvey rat sarcoma viral oncogene homolog",Tlr9,"toll-like receptor 9",,,,HPRD,,,HRAS,TLR9,"",novel,literature supported
HSP90AA1_CFTR,Hsp90aa1,"heat shock protein 90kDa alpha (cytosolic), class A member 1",Cftr,"cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)",,,,,,,,,"9843494",novel,literature supported
HSP90AA1_EGFR,Hsp90aa1,"heat shock protein 90kDa alpha (cytosolic), class A member 1",Egfr,"epidermal growth factor receptor",,,,,,,,,"18199556",novel,literature supported
HSP90AA1_FGFR3,Hsp90aa1,"heat shock protein 90kDa alpha (cytosolic), class A member 1",Fgfr3,"fibroblast growth factor receptor 3",,,,,,,,,"21487019",novel,literature supported
HSPG2_COL13A1,Hspg2,"heparan sulfate proteoglycan 2",Col13a1,"collagen, type XIII, alpha 1",,,,HPRD,,,HSPG2,,"",novel,literature supported
HSPG2_ITGA2,Hspg2,"heparan sulfate proteoglycan 2",Itga2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)",,,,HPRD,,,HSPG2,ITGA2,"",novel,literature supported
HSPG2_ITGB1,Hspg2,"heparan sulfate proteoglycan 2",Itgb1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",,,,HPRD,,,HSPG2,ITGB1,"",novel,literature supported
HSPG2_PTPRS,Hspg2,"heparan sulfate proteoglycan 2",Ptprs,"protein tyrosine phosphatase, receptor type, S",,HPMR,,,,,HSPG2,PTPRS,"",known,literature supported
IAPP_CALCR,Iapp,"islet amyloid polypeptide",Calcr,"calcitonin receptor",,HPMR,IUPHAR,,,,IAPP,CALCR,"",known,literature supported
IAPP_RAMP1,Iapp,"islet amyloid polypeptide",Ramp1,"receptor (G protein-coupled) activity modifying protein 1",,,,HPRD,,,IAPP,RAMP1,"",novel,literature supported
IAPP_RAMP2,Iapp,"islet amyloid polypeptide",Ramp2,"receptor (G protein-coupled) activity modifying protein 2",,,,HPRD,,,IAPP,RAMP2,"",novel,literature supported
ICAM1_EGFR,Icam1,"intercellular adhesion molecule 1",Egfr,"epidermal growth factor receptor",,,,HPRD,,,ICAM1,EGFR,"",novel,literature supported
ICAM1_IL2RA,Icam1,"intercellular adhesion molecule 1",Il2ra,"interleukin 2 receptor, alpha",,,,HPRD,,,ICAM1,IL2RA,"",novel,literature supported
ICAM1_IL2RG,Icam1,"intercellular adhesion molecule 1",Il2rg,"interleukin 2 receptor, gamma",,,,HPRD,,,ICAM1,IL2RG,"",novel,literature supported
ICAM1_ITGAL,Icam1,"intercellular adhesion molecule 1",Itgal,"integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)",,HPMR,,,STRING.binding,STRING.experiment,ICAM1,ITGAL,"",known,literature supported
ICAM1_ITGAM,Icam1,"intercellular adhesion molecule 1",Itgam,"integrin, alpha M (complement component 3 receptor 3 subunit)",,,,HPRD,STRING.binding,STRING.experiment,ICAM1,ITGAM,"",novel,literature supported
ICAM1_ITGAX,Icam1,"intercellular adhesion molecule 1",Itgax,"integrin, alpha X (complement component 3 receptor 4 subunit)",,HPMR,,,STRING.binding,,ICAM1,ITGAX,"",known,literature supported
ICAM1_ITGB2,Icam1,"intercellular adhesion molecule 1",Itgb2,"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)",,HPMR,,HPRD,STRING.binding,STRING.experiment,ICAM1,ITGB2,"",known,literature supported
ICAM2_ITGAL,Icam2,"intercellular adhesion molecule 2",Itgal,"integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)",,HPMR,,,,,ICAM2,ITGAL,"",known,literature supported
ICAM2_ITGAM,Icam2,"intercellular adhesion molecule 2",Itgam,"integrin, alpha M (complement component 3 receptor 3 subunit)",,,,HPRD,,,ICAM2,ITGAM,"",novel,literature supported
ICAM2_ITGB2,Icam2,"intercellular adhesion molecule 2",Itgb2,"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)",,HPMR,,HPRD,,,ICAM2,ITGB2,"",known,literature supported
ICAM4_ITGA2B,Icam4,"intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)",Itga2b,"integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)",,HPMR,,,,,ICAM4,ITGA2B,"",known,literature supported
ICAM4_ITGA4,Icam4,"intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)",Itga4,"integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)",,,,HPRD,,,ICAM4,ITGA4,"",novel,literature supported
ICAM4_ITGAL,Icam4,"intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)",Itgal,"integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)",,HPMR,,,STRING.binding,,ICAM4,ITGAL,"",known,literature supported
ICAM4_ITGAM,Icam4,"intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)",Itgam,"integrin, alpha M (complement component 3 receptor 3 subunit)",,HPMR,,HPRD,STRING.binding,,ICAM4,ITGAM,"",known,literature supported
ICAM4_ITGAV,Icam4,"intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)",Itgav,"integrin, alpha V",,HPMR,,HPRD,,,ICAM4,ITGAV,"",known,literature supported
ICAM4_ITGB1,Icam4,"intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)",Itgb1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",,,,HPRD,,,ICAM4,ITGB1,"",novel,literature supported
ICAM4_ITGB2,Icam4,"intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)",Itgb2,"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)",,HPMR,,HPRD,STRING.binding,,ICAM4,ITGB2,"",known,literature supported
ICAM4_ITGB3,Icam4,"intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)",Itgb3,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)",,HPMR,,,,,ICAM4,ITGB3,"",known,literature supported
ICAM4_RHAG,Icam4,"intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)",Rhag,"Rh-associated glycoprotein",,,,HPRD,,,ICAM4,,"",novel,literature supported
ICAM5_ITGAL,Icam5,"intercellular adhesion molecule 5, telencephalin",Itgal,"integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)",,HPMR,,HPRD,STRING.binding,STRING.experiment,ICAM5,ITGAL,"",known,literature supported
ICAM5_ITGB2,Icam5,"intercellular adhesion molecule 5, telencephalin",Itgb2,"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)",,HPMR,,HPRD,,,ICAM5,ITGB2,"",known,literature supported
IFNB1_IFNAR1,Ifnb1,"interferon, beta 1, fibroblast",Ifnar1,"interferon (alpha, beta and omega) receptor 1",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,IFNB1,IFNAR1,"",known,literature supported
IFNB1_IFNAR2,Ifnb1,"interferon, beta 1, fibroblast",Ifnar2,"interferon (alpha, beta and omega) receptor 2",DLRP,HPMR,,HPRD,,,IFNB1,IFNAR2,"",known,literature supported
IFNG_IFNGR1,Ifng,"interferon, gamma",Ifngr1,"interferon gamma receptor 1",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,IFNG,IFNGR1,"",known,literature supported
IFNG_IFNGR2,Ifng,"interferon, gamma",Ifngr2,"interferon gamma receptor 2 (interferon gamma transducer 1)",DLRP,HPMR,,HPRD,STRING.binding,,IFNG,IFNGR2,"",known,literature supported
IGF1_IGF1R,Igf1,"insulin-like growth factor 1 (somatomedin C)",Igf1r,"insulin-like growth factor 1 receptor",DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,IGF1,IGF1R,"",known,literature supported
IGF2_IGF1R,Igf2,"insulin-like growth factor 2 (somatomedin A)",Igf1r,"insulin-like growth factor 1 receptor",,,IUPHAR,HPRD,,,IGF2,IGF1R,"",known,literature supported
IGF2_IGF2R,Igf2,"insulin-like growth factor 2 (somatomedin A)",Igf2r,"insulin-like growth factor 2 receptor",DLRP,HPMR,,HPRD,,,IGF2,IGF2R,"",known,literature supported
IGF2_INSR,Igf2,"insulin-like growth factor 2 (somatomedin A)",Insr,"insulin receptor",,HPMR,,HPRD,,,IGF2,INSR,"",known,literature supported
IGFBP4_FZD8,Igfbp4,"insulin-like growth factor binding protein 4",Fzd8,"frizzled class receptor 8",,,,,STRING.binding,,,FZD8,"18528331",novel,literature supported
IGFBP4_LRP6,Igfbp4,"insulin-like growth factor binding protein 4",Lrp6,"low density lipoprotein receptor-related protein 6",,,,,STRING.binding,,,LRP6,"18528331",novel,literature supported
IGFL3_IGFLR1,Igfl3,"IGF-like family member 3",Igflr1,"IGF-like family receptor 1",,,,,,,,,"21454693",novel,literature supported
IHH_BOC,Ihh,"indian hedgehog",Boc,"BOC cell adhesion associated, oncogene regulated",,,,,STRING.binding,STRING.experiment,IHH,BOC,"20519495",novel,literature supported
IHH_CDON,Ihh,"indian hedgehog",Cdon,"cell adhesion associated, oncogene regulated",,,,,STRING.binding,STRING.experiment,IHH,CDON,"20519495",novel,literature supported
IHH_HHIP,Ihh,"indian hedgehog",Hhip,"hedgehog interacting protein",,HPMR,,HPRD,STRING.binding,,IHH,HHIP,"",known,literature supported
IHH_PTCH1,Ihh,"indian hedgehog",Ptch1,"patched 1",,HPMR,,HPRD,STRING.binding,,IHH,PTCH,"",known,literature supported
IHH_PTCH2,Ihh,"indian hedgehog",Ptch2,"patched 2",,,,HPRD,STRING.binding,,IHH,PTCH2,"",novel,literature supported
IL10_IL10RA,Il10,"interleukin 10",Il10ra,"interleukin 10 receptor, alpha",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,IL10,IL10RA,"",known,literature supported
IL10_IL10RB,Il10,"interleukin 10",Il10rb,"interleukin 10 receptor, beta",DLRP,HPMR,,HPRD,,STRING.experiment,IL10,IL10RB,"",known,literature supported
IL11_IL6ST,Il11,"interleukin 11",Il6st,"interleukin 6 signal transducer (gp130, oncostatin M receptor)",DLRP,HPMR,,,,,IL11,IL6ST,"",known,literature supported
IL12A_CD28,Il12a,"interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)",Cd28,"CD28 molecule",,,,HPRD,,,IL12A,,"",novel,literature supported
IL12A_IL12RB1,Il12a,"interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)",Il12rb1,"interleukin 12 receptor, beta 1",DLRP,HPMR,,,STRING.binding,STRING.experiment,IL12A,IL12RB1,"",known,literature supported
IL12A_IL12RB2,Il12a,"interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)",Il12rb2,"interleukin 12 receptor, beta 2",DLRP,,,,STRING.binding,,IL12A,IL12RB2,"943050",known,literature supported
IL12B_IL12RB1,Il12b,"interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)",Il12rb1,"interleukin 12 receptor, beta 1",DLRP,,,HPRD,STRING.binding,STRING.experiment,IL12B,IL12RB1,"",known,literature supported
IL12B_IL12RB2,Il12b,"interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)",Il12rb2,"interleukin 12 receptor, beta 2",DLRP,HPMR,,HPRD,STRING.binding,,IL12B,IL12RB2,"",known,literature supported
IL12B_IL23R,Il12b,"interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)",Il23r,"interleukin 23 receptor",,,,,STRING.binding,,IL12B,IL23R,"17587057",novel,literature supported
IL13_IL13RA1,Il13,"interleukin 13",Il13ra1,"interleukin 13 receptor, alpha 1",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,IL13,IL13RA1,"",known,literature supported
IL13_IL13RA2,Il13,"interleukin 13",Il13ra2,"interleukin 13 receptor, alpha 2",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,IL13,IL13RA2,"",known,literature supported
IL13_IL2RG,Il13,"interleukin 13",Il2rg,"interleukin 2 receptor, gamma",DLRP,,,,,,IL13,IL2RG,"8920992",known,literature supported
IL13_IL4R,Il13,"interleukin 13",Il4ra,"interleukin 4 receptor",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,IL13,IL4R,"",known,literature supported
IL15_IL15RA,Il15,"interleukin 15",Il15ra,"interleukin 15 receptor, alpha",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,IL15,IL15RA,"",known,literature supported
IL15_IL2RA,Il15,"interleukin 15",Il2ra,"interleukin 2 receptor, alpha",,,,,STRING.binding,,IL15,IL2RA,"8734356",novel,literature supported
IL15_IL2RB,Il15,"interleukin 15",Il2rb,"interleukin 2 receptor, beta",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,IL15,IL2RB,"",known,literature supported
IL15_IL2RG,Il15,"interleukin 15",Il2rg,"interleukin 2 receptor, gamma",DLRP,HPMR,,HPRD,,,IL15,IL2RG,"",known,literature supported
IL16_CD4,Il16,"interleukin 16",Cd4,"CD4 molecule",DLRP,,,HPRD,STRING.binding,STRING.experiment,,,"",known,literature supported
IL16_GRIN2C,Il16,"interleukin 16",Grin2c,"glutamate receptor, ionotropic, N-methyl D-aspartate 2C",,,,HPRD,,,,,"",novel,literature supported
IL16_GRIN2D,Il16,"interleukin 16",Grin2d,"glutamate receptor, ionotropic, N-methyl D-aspartate 2D",,,,HPRD,,,,,"",novel,literature supported
IL16_KCNA3,Il16,"interleukin 16",Kcna3,"potassium voltage-gated channel, shaker-related subfamily, member 3",,,,HPRD,,,,,"",novel,literature supported
IL16_KCND1,Il16,"interleukin 16",Kcnd1,"potassium voltage-gated channel, Shal-related subfamily, member 1",,,,HPRD,,,,,"",novel,literature supported
IL16_KCND2,Il16,"interleukin 16",Kcnd2,"potassium voltage-gated channel, Shal-related subfamily, member 2",,,,HPRD,,,,,"",novel,literature supported
IL16_KCNJ10,Il16,"interleukin 16",Kcnj10,"potassium inwardly-rectifying channel, subfamily J, member 10",,,,HPRD,,,,,"",novel,literature supported
IL16_KCNJ15,Il16,"interleukin 16",Kcnj15,"potassium inwardly-rectifying channel, subfamily J, member 15",,,,HPRD,,,,,"",novel,literature supported
IL16_KCNJ4,Il16,"interleukin 16",Kcnj4,"potassium inwardly-rectifying channel, subfamily J, member 4",,,,HPRD,,,,,"",novel,literature supported
IL17A_IL17RA,Il17a,"interleukin 17A",Il17ra,"interleukin 17 receptor A",DLRP,HPMR,,HPRD,STRING.binding,,IL17A,IL17RA,"",known,literature supported
IL17A_IL17RC,Il17a,"interleukin 17A",Il17rc,"interleukin 17 receptor C",,,,,STRING.binding,,IL17A,IL17RC,"18684971",novel,literature supported
IL17B_IL17RB,Il17b,"interleukin 17B",Il17rb,"interleukin 17 receptor B",,HPMR,,HPRD,,,IL17B,IL17RB,"",known,literature supported
IL17F_IL17RA,Il17f,"interleukin 17F",Il17ra,"interleukin 17 receptor A",,,,,STRING.binding,STRING.experiment,,IL17RA,"18684971",novel,literature supported
IL18_IL18R1,Il18,"interleukin 18 (interferon-gamma-inducing factor)",Il18r1,"interleukin 18 receptor 1",DLRP,HPMR,,HPRD,STRING.binding,,IL18,IL18R1,"",known,literature supported
IL18_IL18RAP,Il18,"interleukin 18 (interferon-gamma-inducing factor)",Il18rap,"interleukin 18 receptor accessory protein",DLRP,,,HPRD,STRING.binding,,IL18,IL18RAP,"",known,literature supported
IL18_IL1RAPL1,Il18,"interleukin 18 (interferon-gamma-inducing factor)",Il1rapl1,"interleukin 1 receptor accessory protein-like 1",,HPMR,,,,,IL18,IL1RAPL1,"",known,literature supported
IL18_IL1RL2,Il18,"interleukin 18 (interferon-gamma-inducing factor)",Il1rl2,"interleukin 1 receptor-like 2",,,,HPRD,,,IL18,,"",novel,literature supported
IL19_IL20RA,Il19,"interleukin 19",Il20ra,"interleukin 20 receptor, alpha",,HPMR,,HPRD,,,IL19,IL20RA,"",known,literature supported
IL19_IL20RB,Il19,"interleukin 19",Il20rb,"interleukin 20 receptor beta",,HPMR,,,,,IL19,IL20RB,"",known,literature supported
IL1A_IL1R1,Il1a,"interleukin 1, alpha",Il1r1,"interleukin 1 receptor, type I",DLRP,HPMR,,HPRD,STRING.binding,,IL1A,IL1R1,"",known,literature supported
IL1A_IL1R2,Il1a,"interleukin 1, alpha",Il1r2,"interleukin 1 receptor, type II",DLRP,HPMR,,HPRD,STRING.binding,,IL1A,IL1R2,"",known,literature supported
IL1A_IL1RAP,Il1a,"interleukin 1, alpha",Il1rap,"interleukin 1 receptor accessory protein",,,,HPRD,,,IL1A,IL1RAP,"",novel,literature supported
IL1B_ADRB2,Il1b,"interleukin 1, beta",Adrb2,"adrenoceptor beta 2, surface",,,,HPRD,,,IL1B,ADRB2,"",novel,literature supported
IL1B_IL1R1,Il1b,"interleukin 1, beta",Il1r1,"interleukin 1 receptor, type I",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,IL1B,IL1R1,"",known,literature supported
IL1B_IL1R2,Il1b,"interleukin 1, beta",Il1r2,"interleukin 1 receptor, type II",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,IL1B,IL1R2,"",known,literature supported
IL1B_IL1RAP,Il1b,"interleukin 1, beta",Il1rap,"interleukin 1 receptor accessory protein",,HPMR,,HPRD,STRING.binding,STRING.experiment,IL1B,IL1RAP,"",known,literature supported
IL1F10_IL1R1,Il1f10,"interleukin 1 family, member 10 (theta)",Il1r1,"interleukin 1 receptor, type I",,,,HPRD,,,,IL1R1,"",novel,literature supported
IL1RN_IL1R1,Il1rn,"interleukin 1 receptor antagonist",Il1r1,"interleukin 1 receptor, type I",DLRP,,,HPRD,STRING.binding,STRING.experiment,,IL1R1,"",known,literature supported
IL1RN_IL1R2,Il1rn,"interleukin 1 receptor antagonist",Il1r2,"interleukin 1 receptor, type II",DLRP,,,HPRD,STRING.binding,,,IL1R2,"",known,literature supported
IL20_IL20RA,Il20,"interleukin 20",Il20ra,"interleukin 20 receptor, alpha",,HPMR,,HPRD,STRING.binding,STRING.experiment,IL20,IL20RA,"",known,literature supported
IL20_IL20RB,Il20,"interleukin 20",Il20rb,"interleukin 20 receptor beta",,HPMR,,HPRD,STRING.binding,STRING.experiment,IL20,IL20RB,"",known,literature supported
IL20_IL22RA1,Il20,"interleukin 20",Il22ra1,"interleukin 22 receptor, alpha 1",,HPMR,,,,,IL20,IL22RA1,"",known,literature supported
IL21_IL21R,Il21,"interleukin 21",Il21r,"interleukin 21 receptor",,HPMR,,HPRD,STRING.binding,STRING.experiment,IL21,IL21R,"",known,literature supported
IL21_IL2RG,Il21,"interleukin 21",Il2rg,"interleukin 2 receptor, gamma",,HPMR,,,,,IL21,IL2RG,"",known,literature supported
IL23A_IL12RB1,Il23a,"interleukin 23, alpha subunit p19",Il12rb1,"interleukin 12 receptor, beta 1",,HPMR,,HPRD,STRING.binding,STRING.experiment,IL23A,IL12RB1,"",known,literature supported
IL23A_IL23R,Il23a,"interleukin 23, alpha subunit p19",Il23r,"interleukin 23 receptor",,HPMR,,HPRD,STRING.binding,,IL23A,IL23R,"",known,literature supported
IL24_IL20RA,Il24,"interleukin 24",Il20ra,"interleukin 20 receptor, alpha",,HPMR,,HPRD,,,IL24,IL20RA,"",known,literature supported
IL24_IL20RB,Il24,"interleukin 24",Il20rb,"interleukin 20 receptor beta",,HPMR,,,,,IL24,IL20RB,"",known,literature supported
IL24_IL22RA1,Il24,"interleukin 24",Il22ra1,"interleukin 22 receptor, alpha 1",,HPMR,,,,,IL24,IL22RA1,"",known,literature supported
IL25_IL17RB,Il25,"interleukin 25",Il17rb,"interleukin 17 receptor B",,HPMR,,HPRD,,,IL25,IL17RB,"",known,literature supported
IL27_IL27RA,Il27,"interleukin 27",Il27ra,"interleukin 27 receptor, alpha",,,,HPRD,STRING.binding,,,,"",novel,literature supported
IL2_CD53,Il2,"interleukin 2",Cd53,"CD53 molecule",,,,HPRD,,,IL2,CD53,"",novel,literature supported
IL2_IL2RA,Il2,"interleukin 2",Il2ra,"interleukin 2 receptor, alpha",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,IL2,IL2RA,"",known,literature supported
IL2_IL2RB,Il2,"interleukin 2",Il2rb,"interleukin 2 receptor, beta",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,IL2,IL2RB,"",known,literature supported
IL2_IL2RG,Il2,"interleukin 2",Il2rg,"interleukin 2 receptor, gamma",DLRP,HPMR,,HPRD,,,IL2,IL2RG,"",known,literature supported
IL2_NGFR,Il2,"interleukin 2",Ngfr,"nerve growth factor receptor",,,,HPRD,,,IL2,NGFR,"",novel,literature supported
IL34_CSF1R,Il34,"interleukin 34",Csf1r,"colony stimulating factor 1 receptor",,,,,STRING.binding,STRING.experiment,,CSF1R,"22729249",novel,literature supported
IL4_CD53,Il4,"interleukin 4",Cd53,"CD53 molecule",,,,HPRD,,,IL4,CD53,"",novel,literature supported
IL4_IL13RA1,Il4,"interleukin 4",Il13ra1,"interleukin 13 receptor, alpha 1",DLRP,,,,STRING.binding,STRING.experiment,IL4,IL13RA1,"10641437",known,literature supported
IL4_IL13RA2,Il4,"interleukin 4",Il13ra2,"interleukin 13 receptor, alpha 2",,,,HPRD,,,IL4,IL13RA2,"",novel,literature supported
IL4_IL2RG,Il4,"interleukin 4",Il2rg,"interleukin 2 receptor, gamma",DLRP,HPMR,,HPRD,,,IL4,IL2RG,"",known,literature supported
IL4_IL4R,Il4,"interleukin 4",Il4ra,"interleukin 4 receptor",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,IL4,IL4R,"",known,literature supported
IL5_IL5RA,Il5,"interleukin 5 (colony-stimulating factor, eosinophil)",Il5ra,"interleukin 5 receptor, alpha",DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,IL5,IL5RA,"",known,literature supported
IL6_IL6R,Il6,"interleukin 6 (interferon, beta 2)",Il6ra,"interleukin 6 receptor",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,IL6,IL6R,"",known,literature supported
IL6_IL6ST,Il6,"interleukin 6 (interferon, beta 2)",Il6st,"interleukin 6 signal transducer (gp130, oncostatin M receptor)",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,IL6,IL6ST,"",known,literature supported
IL7_IL2RG,Il7,"interleukin 7",Il2rg,"interleukin 2 receptor, gamma",DLRP,HPMR,,HPRD,,,IL7,IL2RG,"",known,literature supported
IL7_IL7R,Il7,"interleukin 7",Il7r,"interleukin 7 receptor",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,IL7,IL7R,"",known,literature supported
IL9_IL2RG,Il9,"interleukin 9",Il2rg,"interleukin 2 receptor, gamma",DLRP,HPMR,,,,,IL9,IL2RG,"",known,literature supported
IL9_IL9R,Il9,"interleukin 9",Il9r,"interleukin 9 receptor",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,IL9,IL9R,"",known,literature supported
INHA_ACVR2A,Inha,"inhibin, alpha",Acvr2a,"activin A receptor, type IIA",DLRP,HPMR,,,STRING.binding,,INHA,ACVR2A,"",known,literature supported
INHA_TGFBR3,Inha,"inhibin, alpha",Tgfbr3,"transforming growth factor, beta receptor III",,HPMR,,HPRD,STRING.binding,,INHA,TGFBR3,"",known,literature supported
INHBA_ACVR1,Inhba,"inhibin, beta A",Acvr1,"activin A receptor, type I",DLRP,,,HPRD,,,INHBA,ACVR1,"",known,literature supported
INHBA_ACVR1B,Inhba,"inhibin, beta A",Acvr1b,"activin A receptor, type IB",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,INHBA,ACVR1B,"",known,literature supported
INHBA_ACVR2A,Inhba,"inhibin, beta A",Acvr2a,"activin A receptor, type IIA",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,INHBA,ACVR2A,"",known,literature supported
INHBA_ACVR2B,Inhba,"inhibin, beta A",Acvr2b,"activin A receptor, type IIB",DLRP,,,HPRD,STRING.binding,STRING.experiment,INHBA,ACVR2B,"",known,literature supported
INHBA_BAMBI,Inhba,"inhibin, beta A",Bambi,"BMP and activin membrane-bound inhibitor",,HPMR,,,,,INHBA,BAMBI,"",known,literature supported
INHBA_ENG,Inhba,"inhibin, beta A",Eng,"endoglin",,,,HPRD,,,INHBA,ENG,"",novel,literature supported
INHBA_TGFBR3,Inhba,"inhibin, beta A",Tgfbr3,"transforming growth factor, beta receptor III",,,,HPRD,,,INHBA,TGFBR3,"",novel,literature supported
INHBB_ACVR1,Inhbb,"inhibin, beta B",Acvr1,"activin A receptor, type I",DLRP,,,HPRD,,,INHBB,ACVR1,"",known,literature supported
INHBB_ACVR1B,Inhbb,"inhibin, beta B",Acvr1b,"activin A receptor, type IB",DLRP,,,HPRD,STRING.binding,STRING.experiment,INHBB,ACVR1B,"",known,literature supported
INHBB_ACVR1C,Inhbb,"inhibin, beta B",Acvr1c,"activin A receptor, type IC",,,,HPRD,,,INHBB,ACVR1C,"",novel,literature supported
